account_name,parent_account,account_number,parent_account_number,is_group,account_type,root_type,account_currency
"Dotations aux amortissements et provisions - charges ordinaires - 681","Dotations aux amortissements et aux provisions - 68","681","68",1,"","Expense","TND"
"Dotations aux amortissements des immob. incorp. et corp. - 6811","Dotations aux amortissements et provisions - charges ordinaires - 681","6811","681",1,"","Expense","TND"
"Immobilisations incorporelles - 68111","Dotations aux amortissements des immob. incorp. et corp. - 6811","68111","6811",0,"Depreciation","Expense","TND"
"Immobilisations corporelles - 68112","Dotations aux amortissements des immob. incorp. et corp. - 6811","68112","6811",0,"Depreciation","Expense","TND"
"Dotations aux provisions dépréciation immob. incorp. et corp. - 6816","Dotations aux amortissements et provisions - charges ordinaires - 681","6816","681",1,"","Expense","TND"
"Immobilisations incorporelles - 68161","Dotations aux provisions dépréciation immob. incorp. et corp. - 6816","68161","6816",0,"Depreciation","Expense","TND"
"Immobilisations corporelles - 68162","Dotations aux provisions dépréciation immob. incorp. et corp. - 6816","68162","6816",0,"Depreciation","Expense","TND"
"Dotations aux provisions dépréciation actifs courants - 6817","Dotations aux amortissements et provisions - charges ordinaires - 681","6817","681",1,"","Expense","TND"
"Stocks et en-cours - 68173","Dotations aux provisions dépréciation actifs courants - 6817","68173","6817",0,"Depreciation","Expense","TND"
"Créances - 68174","Dotations aux provisions dépréciation actifs courants - 6817","68174","6817",0,"Depreciation","Expense","TND"
"Dotations aux résorptions des charges reportées - 6812","Dotations aux amortissements et provisions - charges ordinaires - 681","6812","681",0,"Depreciation","Expense","TND"
"Dotations aux provisions pour risques et charges d'exploitation - 6815","Dotations aux amortissements et provisions - charges ordinaires - 681","6815","681",0,"Depreciation","Expense","TND"
"Dotations aux amortissements & prov. liées à une modif. comptable - 6818","Dotations aux amortissements et provisions - charges ordinaires - 681","6818","681",0,"Depreciation","Expense","TND"
"Dotations aux amortissements et provisions - charges financières - 686","Dotations aux amortissements et aux provisions - 68","686","68",1,"","Expense","TND"
"Dotations aux provisions dépréciation des éléments financiers - 6866","Dotations aux amortissements et provisions - charges financières - 686","6866","686",1,"","Expense","TND"
"Immobilisations financières - 68662","Dotations aux provisions dépréciation des éléments financiers - 6866","68662","6866",0,"Depreciation","Expense","TND"
"Placements et prêts courants - 68665","Dotations aux provisions dépréciation des éléments financiers - 6866","68665","6866",0,"Depreciation","Expense","TND"
"Dotations amort. primes de remboursement des obligations - 6861","Dotations aux amortissements et provisions - charges financières - 686","6861","686",0,"Depreciation","Expense","TND"
"Dotations aux provisions pour risques et charges financières - 6865","Dotations aux amortissements et provisions - charges financières - 686","6865","686",0,"Depreciation","Expense","TND"
"Dotations aux amort. & prov. liées à une modif. comptable - 6868","Dotations aux amortissements et provisions - charges financières - 686","6868","686",0,"Depreciation","Expense","TND"
"Impôts sur les bénéfices - 69","Charges (Classe 6)","69","6",1,"Tax","Expense","TND"
"Impôts sur les bénéfices calculés sur le résultat des act. ordinaires - 691","Impôts sur les bénéfices - 69","691","69",0,"Tax","Expense","TND"
"Autres impôts sur les bénéfices (régimes particuliers) - 695","Impôts sur les bénéfices - 69","695","69",0,"Tax","Expense","TND"
"Impôts sur les bénéfices calculés sur les éléments extraordinaires - 697","Impôts sur les bénéfices - 69","697","69",0,"Tax","Expense","TND"
"Ventes de produits fabriqués, prestations de services, marchandises - 70","Produits (Classe 7)","70","7",1,"","Income","TND"
"Ventes de produits finis - 701","Ventes de produits fabriqués, prestations de services, marchandises - 70","701","70",1,"","Income","TND"
"Produits finis achevés - 7011","Ventes de produits finis - 701","7011","701",0,"Income Account","Income","TND"
"Produits finis non achevés (contrat de longue durée) - 7012","Ventes de produits finis - 701","7012","701",0,"Income Account","Income","TND"
"Rabais, remises et ristournes accordés par l'entreprise - 709","Ventes de produits fabriqués, prestations de services, marchandises - 70","709","70",1,"","Income","TND"
"Sur ventes de produits finis - 7091","Rabais, remises et ristournes accordés par l'entreprise - 709","7091","709",0,"Income Account","Income","TND"
"Sur ventes de produits intermédiaires - 7092","Rabais, remises et ristournes accordés par l'entreprise - 709","7092","709",0,"Income Account","Income","TND"
"Sur travaux - 7094","Rabais, remises et ristournes accordés par l'entreprise - 709","7094","709",0,"Income Account","Income","TND"
"Sur études et prestations de services - 7095","Rabais, remises et ristournes accordés par l'entreprise - 709","7095","709",0,"Income Account","Income","TND"
"Sur activités annexes - 7096","Rabais, remises et ristournes accordés par l'entreprise - 709","7096","709",0,"Income Account","Income","TND"
"Sur ventes de marchandises - 7097","Rabais, remises et ristournes accordés par l'entreprise - 709","7097","709",0,"Income Account","Income","TND"
"Sur ventes liées à une modif. comptable - 7098","Rabais, remises et ristournes accordés par l'entreprise - 709","7098","709",0,"Income Account","Income","TND"
"Ventes de produits intermédiaires - 702","Ventes de produits fabriqués, prestations de services, marchandises - 70","702","70",0,"Income Account","Income","TND"
"Ventes de produits résiduels - 703","Ventes de produits fabriqués, prestations de services, marchandises - 70","703","70",0,"Income Account","Income","TND"
"Travaux - 704","Ventes de produits fabriqués, prestations de services, marchandises - 70","704","70",0,"Income Account","Income","TND"
"Études et prestations de services - 705","Ventes de produits fabriqués, prestations de services, marchandises - 70","705","70",0,"Income Account","Income","TND"
"Produits des activités annexes - 706","Ventes de produits fabriqués, prestations de services, marchandises - 70","706","70",0,"Income Account","Income","TND"
"Ventes de marchandises - 707","Ventes de produits fabriqués, prestations de services, marchandises - 70","707","70",0,"Income Account","Income","TND"
"Ventes liées à une modif. comptable - 708","Ventes de produits fabriqués, prestations de services, marchandises - 70","708","70",0,"Income Account","Income","TND"
"Production stockée (ou déstockage) - 71","Produits (Classe 7)","71","7",1,"","Income","TND"
"Variation des stocks (en-cours de production, produits) - 713","Production stockée (ou déstockage) - 71","713","71",1,"","Income","TND"
"Variations des en-cours de production de biens - 7133","Variation des stocks (en-cours de production, produits) - 713","7133","713",0,"Income Account","Income","TND"
"Variation des en-cours de production de services - 7134","Variation des stocks (en-cours de production, produits) - 713","7134","713",0,"Income Account","Income","TND"
"Variation des stocks de produits - 7135","Variation des stocks (en-cours de production, produits) - 713","7135","713",0,"Income Account","Income","TND"
"Production immobilisée - 72","Produits (Classe 7)","72","7",1,"","Income","TND"
"Immobilisations incorporelles - 721","Production immobilisée - 72","721","72",0,"Income Account","Income","TND"
"Immobilisations corporelles - 722","Production immobilisée - 72","722","72",0,"Income Account","Income","TND"
"Production immobilisée liée à une modif. comptable - 728","Production immobilisée - 72","728","72",0,"Income Account","Income","TND"
"Produits divers ordinaires - 73","Produits (Classe 7)","73","7",1,"","Income","TND"
"Redevances pour concessions, brevets, licences, etc. - 731","Produits divers ordinaires - 73","731","73",0,"Income Account","Income","TND"
"Revenus des immeubles non affectés aux activités pro. - 732","Produits divers ordinaires - 73","732","73",0,"Income Account","Income","TND"
"Jetons de présence et rémunérations d'administrateurs, gérants - 733","Produits divers ordinaires - 73","733","73",0,"Income Account","Income","TND"
"Ristournes perçues des coopératives (provenant des excédents) - 734","Produits divers ordinaires - 73","734","73",0,"Income Account","Income","TND"
"Quotes-parts de résultat sur opérations faites en commun - 735","Produits divers ordinaires - 73","735","73",0,"Income Account","Income","TND"
"Produits nets sur cessions d'immob. & autres gains - 736","Produits divers ordinaires - 73","736","73",0,"Income Account","Income","TND"
"Produits divers ordinaires liés à une modif. comptable - 738","Produits divers ordinaires - 73","738","73",0,"Income Account","Income","TND"
"Quotes-parts des subventions d'investissement inscrites au résultat - 739","Produits divers ordinaires - 73","739","73",0,"Income Account","Income","TND"
"Subventions d'exploitation et d'équilibre - 74","Produits (Classe 7)","74","7",1,"","Income","TND"
"Subventions d'exploitation - 741","Subventions d'exploitation et d'équilibre - 74","741","74",0,"Income Account","Income","TND"
"Subventions d'équilibre - 745","Subventions d'exploitation et d'équilibre - 74","745","74",0,"Income Account","Income","TND"
"Subventions liées à une modif. comptable - 748","Subventions d'exploitation et d'équilibre - 74","748","74",0,"Income Account","Income","TND"
"Produits financiers - 75","Produits (Classe 7)","75","7",1,"","Income","TND"
"Produits des participations - 751","Produits financiers - 75","751","75",0,"Income Account","Income","TND"
"Produits des autres immobilisations financières - 752","Produits financiers - 75","752","75",0,"Income Account","Income","TND"
"Revenus des autres créances - 753","Produits financiers - 75","753","75",0,"Income Account","Income","TND"
"Revenus des valeurs mobilières de placement - 754","Produits financiers - 75","754","75",0,"Income Account","Income","TND"
"Escomptes obtenus - 755","Produits financiers - 75","755","75",0,"Income Account","Income","TND"
"Gains de change - 756","Produits financiers - 75","756","75",0,"Income Account","Income","TND"
"Produits nets sur cessions de valeurs mobilières - 757","Produits financiers - 75","757","75",0,"Income Account","Income","TND"
"Produits financiers liés à une modif. comptable - 758","Produits financiers - 75","758","75",0,"Income Account","Income","TND"
"Gains extraordinaires - 77","Produits (Classe 7)","77","7",0,"Income Account","Income","TND"
"Reprises sur amortissements et provisions - 78","Produits (Classe 7)","78","7",1,"","Income","TND"
"Reprises sur amortissements et provisions (produits ordinaires) - 781","Reprises sur amortissements et provisions - 78","781","78",1,"","Income","TND"
"Reprises sur amort. des immob. incorp. et corp. - 7811","Reprises sur amortissements et provisions (produits ordinaires) - 781","7811","781",1,"","Income","TND"
"Immobilisations incorporelles - 78111","Reprises sur amort. des immob. incorp. et corp. - 7811","78111","7811",0,"Income Account","Income","TND"
"Immobilisations corporelles - 78112","Reprises sur amort. des immob. incorp. et corp. - 7811","78112","7811",0,"Income Account","Income","TND"
"Reprises sur provisions pour risques et charges d'exploitation - 7815","Reprises sur amortissements et provisions (produits ordinaires) - 781","7815","781",0,"Income Account","Income","TND"
"Reprises sur provisions dépréciation immob. incorp. et corp. - 7816","Reprises sur amortissements et provisions (produits ordinaires) - 781","7816","781",1,"","Income","TND"
"Immobilisations incorporelles - 78161","Reprises sur provisions dépréciation immob. incorp. et corp. - 7816","78161","7816",0,"Income Account","Income","TND"
"Immobilisations corporelles - 78162","Reprises sur provisions dépréciation immob. incorp. et corp. - 7816","78162","7816",0,"Income Account","Income","TND"
"Reprises sur provisions dépréciation actifs courants - 7817","Reprises sur amortissements et provisions (produits ordinaires) - 781","7817","781",1,"","Income","TND"
"Stocks et en-cours - 78173","Reprises sur provisions dépréciation actifs courants - 7817","78173","7817",0,"Income Account","Income","TND"
"Créances - 78174","Reprises sur provisions dépréciation actifs courants - 7817","78174","7817",0,"Income Account","Income","TND"
"Reprises sur provisions liées à une modif. comptable - 7818","Reprises sur amortissements et provisions (produits ordinaires) - 781","7818","781",0,"Income Account","Income","TND"
"Reprises sur provisions (produits financiers) - 786","Reprises sur amortissements et provisions - 78","786","78",1,"","Income","TND"
"Reprises sur provisions pour risque et charges financières - 7865","Reprises sur provisions (produits financiers) - 786","7865","786",0,"Income Account","Income","TND"
"Reprises sur provisions pour dépréciation des éléments financiers - 7866","Reprises sur provisions (produits financiers) - 786","7866","786",0,"Income Account","Income","TND"
"Reprises sur provisions liées à une modif. comptable (financier) - 7868","Reprises sur provisions (produits financiers) - 786","7868","786",0,"Income Account","Income","TND"
"Transferts de charges - 79","Produits (Classe 7)","79","7",0,"Income Account","Income","TND"
